location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,avg_cwc,std_cwc,n_seeds,n_valid_seeds,n_train_seqs,n_test_pts,seq_len
Arabian_Sea,15.0,65.0,DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,0.1,0.9,,,96.34703196347033,1.6589864953958864,0.8581666581521207,0.08748502073295443,1.0651066147272705,0.054168413027283965,1.0189936615041721,0.3034601119500922,5,5,846,219,30
Bay_of_Bengal,12.0,87.0,DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,0.1,0.9,,,97.62557077625573,0.1826484018264807,0.8839572151260248,0.013462607977704724,0.956005799146396,0.009422958611727825,0.8839572151260248,0.013462607977704724,5,5,846,219,30
Andaman_Sea,11.0,95.0,DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,0.1,0.9,,,95.98173515981736,0.5325070223603025,0.8252372948615475,0.03157291154541177,0.9369755863409377,0.015989676138713,0.8252372948615475,0.03157291154541177,5,5,846,219,30
Lakshadweep,10.0,73.0,DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,0.1,0.9,,,97.35159817351598,0.4473953868097118,0.6348986002520329,0.01220467338112222,0.8218169744767906,0.013121515125014338,0.6348986002520329,0.01220467338112222,5,5,846,219,30
South_IO,-5.0,75.0,DeepAR,NLL-Gaussian,DeepAR-NLL-Gaussian,0.1,0.9,,,95.25114155251141,0.5479452054794488,0.8667928465903956,0.012548266016198578,1.1382616869012365,0.016248191083472297,0.9171590303043187,0.08628166755319637,5,5,846,219,30
