location,lat,lon,model,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,avg_cwc,std_cwc,n_seeds,n_train_seqs,n_test_pts,seq_len,arima_order,n_bootstrap
Arabian_Sea,15.0,65.0,"ARIMA(2, 1, 1)-Bootstrap",94.06392694063926,0.0,0.8397277035116101,0.0,1.0401422436446448,0.0,1.340923998562099,0.0,1,876,219,1,"(2, 1, 1)",2000
Bay_of_Bengal,12.0,87.0,"ARIMA(2, 1, 1)-Bootstrap",99.08675799086758,0.0,1.058433658253554,0.0,1.0690506645279385,0.0,1.058433658253554,0.0,1,876,219,1,"(2, 1, 1)",2000
Andaman_Sea,11.0,95.0,"ARIMA(2, 1, 1)-Bootstrap",93.15068493150685,0.0,0.8520003938940699,0.0,0.9392906269522819,0.0,2.147897044024574,0.0,1,876,219,1,"(2, 1, 1)",2000
Lakshadweep,10.0,73.0,"ARIMA(2, 1, 1)-Bootstrap",94.97716894977168,0.0,0.6846053339212683,0.0,0.7676752608415456,0.0,0.6924652404293914,0.0,1,876,219,1,"(2, 1, 1)",2000
South_IO,-5.0,75.0,"ARIMA(2, 1, 1)-Bootstrap",93.60730593607306,0.0,0.8822276643065506,0.0,0.9532431444847146,0.0,1.7701103662877538,0.0,1,876,219,1,"(2, 1, 1)",2000
