location,lat,lon,arch,loss,model,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,avg_cwc,std_cwc,n_seeds,n_valid_seeds,cal_frac,n_train_seqs,n_test_pts,seq_len
Arabian_Sea,15.0,65.0,LSTM-KDE,KDE-Calibration,LSTM-KDE,97.71689497716896,0.6457596175219595,2.573623609542847,0.09843054480866621,2.7575186252593995,0.11360684276571971,2.573623609542847,0.09843054480866621,5,5,0.2,671,219,30
Bay_of_Bengal,12.0,87.0,LSTM-KDE,KDE-Calibration,LSTM-KDE,100.0,0.0,3.0378864765167237,0.07961810146336612,3.0378864765167237,0.07961810146336612,3.0378864765167237,0.07961810146336612,5,5,0.2,671,219,30
Andaman_Sea,11.0,95.0,LSTM-KDE,KDE-Calibration,LSTM-KDE,99.72602739726027,0.22369769340485934,1.4748409032821654,0.01650670212215387,1.4764884948730468,0.01643045152757095,1.4748409032821654,0.01650670212215387,5,5,0.2,671,219,30
Lakshadweep,10.0,73.0,LSTM-KDE,KDE-Calibration,LSTM-KDE,92.96803652968036,5.266802138920992,1.0967624187469482,0.0654640659870784,1.3387732267379762,0.27064033520573794,33.34984042582248,40.01167853179678,5,5,0.2,671,219,30
South_IO,-5.0,75.0,LSTM-KDE,KDE-Calibration,LSTM-KDE,99.90867579908675,0.1826484018264864,1.55878803730011,0.11195943296343792,1.5594590187072754,0.11150615553166521,1.55878803730011,0.11195943296343792,5,5,0.2,671,219,30
