location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,avg_cwc,std_cwc,n_seeds,n_valid_seeds,n_train_seqs,n_test_pts,seq_len,k_components
Arabian_Sea,15.0,65.0,MDN-GRU,NLL-Mixture,MDN-GRU-K3,0.025,0.975,,,95.70776255707763,0.6834077418765169,0.7618435590043335,0.0332309523678999,0.828656102414749,0.03340512056480111,0.8020105080830447,0.07689084707386973,5,5,846,219,30,3
Bay_of_Bengal,12.0,87.0,MDN-GRU,NLL-Mixture,MDN-GRU-K3,0.025,0.975,,,95.98173515981736,0.6057762174165146,0.7784749973361833,0.02173257892817296,0.8025479023539726,0.018697408318619484,0.7802628404414623,0.022036065404523745,5,5,846,219,30,3
Andaman_Sea,11.0,95.0,MDN-GRU,NLL-Mixture,MDN-GRU-K3,0.025,0.975,,,93.5159817351598,0.532507022360303,0.7117922072222502,0.011120361829375787,0.7599153121780398,0.008021384702430343,1.5407413027124255,0.34118557138789135,5,5,846,219,30,3
Lakshadweep,10.0,73.0,MDN-GRU,NLL-Mixture,MDN-GRU-K3,0.025,0.975,,,95.4337899543379,0.5775849607613487,0.5561213265082121,0.008789705130138084,0.6148982728146917,0.005528772486931873,0.5599254914024481,0.007618359950456096,5,5,846,219,30,3
South_IO,-5.0,75.0,MDN-GRU,NLL-Mixture,MDN-GRU-K3,0.025,0.975,,,91.23287671232876,0.532507022360303,0.7566593647866837,0.008800906498734822,0.8397630588412401,0.0076292308702448726,5.125425308274034,1.1241233001310174,5,5,846,219,30,3
