location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,avg_cwc,std_cwc,n_seeds,n_valid_seeds,n_train_seqs,n_test_pts,seq_len
Arabian_Sea,15.0,65.0,LSTM,Quantile,LSTM-Quantile,0.02,0.97,,,93.60730593607306,3.3678701213855313,1.9673442363739013,0.5531800369108788,2.4356199979782103,0.683159424093581,23.005352166712434,39.10016016984411,5,5,846,219,30
Arabian_Sea,15.0,65.0,LSTM,Tube,LSTM-Tube,,,0.5,0.015,92.32876712328766,1.902526635251108,2.706579566001892,0.6131687407431352,3.31289005279541,0.6663763226719472,16.79298209091697,15.351985743464192,5,5,846,219,30
Bay_of_Bengal,12.0,87.0,LSTM,Quantile,LSTM-Quantile,0.02,0.97,,,98.44748858447488,1.0251116128147777,0.9551705241203308,0.07085937708787989,0.9656091451644897,0.06448997743334256,0.9551705241203308,0.07085937708787989,5,5,846,219,30
Bay_of_Bengal,12.0,87.0,LSTM,Tube,LSTM-Tube,,,0.5,0.015,96.16438356164383,0.9402401955239287,0.8695742845535278,0.019185197871366876,0.8856629371643067,0.017391600664437224,0.8715011920272732,0.01630274895912428,5,5,846,219,30
Andaman_Sea,11.0,95.0,LSTM,Quantile,LSTM-Quantile,0.02,0.97,,,96.7123287671233,0.8854209785235346,0.8164154529571533,0.02128873885022892,0.8334069013595581,0.01912740741160342,0.8164154529571533,0.02128873885022892,5,5,846,219,30
Andaman_Sea,11.0,95.0,LSTM,Tube,LSTM-Tube,,,0.5,0.015,94.61187214611871,1.8804803910478538,0.7843719005584717,0.03612540654960557,0.8136091947555542,0.02820011765824761,1.5391050608717811,0.7430647526014464,5,5,846,219,30
Lakshadweep,10.0,73.0,LSTM,Quantile,LSTM-Quantile,0.02,0.97,,,96.34703196347031,1.0412560959809478,0.8175417065620423,0.08040601652606806,0.8907499551773072,0.07983881259103943,0.8686615761403733,0.17262002286655942,5,5,846,219,30
Lakshadweep,10.0,73.0,LSTM,Tube,LSTM-Tube,,,0.5,0.015,94.88584474885845,2.9366091672718824,0.9446714758872986,0.32487030143867657,1.0311018228530884,0.3713051032308078,5.459742092440574,9.133727916053235,5,5,846,219,30
South_IO,-5.0,75.0,LSTM,Quantile,LSTM-Quantile,0.02,0.97,,,95.70776255707763,2.656262935570589,1.1613049030303955,0.5536890137159467,1.199638056755066,0.5334932209331087,1.892566541992784,1.1305897290981397,5,5,846,219,30
South_IO,-5.0,75.0,LSTM,Tube,LSTM-Tube,,,0.5,0.015,95.06849315068493,2.879247994599898,1.1507757425308227,0.6006932591815408,1.1916969060897826,0.5799902397012021,2.219591046926839,1.5102775656885055,5,5,846,219,30
